pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-4463 A b,TOI-4463 A,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,288.071.980,280,-270,0,40.360,740,-820,0,13.260,717,-504,0,1.183,64,-45,0,25.235.576,1.239.531,-1.271.314,0,79.400,3.900,-4.000,0,Mass,0,,,0,633.00,46.00,-38.00,0,1395,25,-22,0,0,1.311.000,91.000,-54.000,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5640.00,89.00,-82.00,0,01.06,0.03,-0.02,0,01.06,0.06,-0.06,0,250,85,-85,0,[Fe/H],4.41,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h37m25.95s,2.793.581.286,+18d43m47.83s,187.299.522,1.731.170.000,13.030.000,-12.850.000,110.360.000,80.000,-80.000,94.020.000,150.000,-150.000,109.505.000,4.930,-4.930,2023-02-27,2023-03,2023-02-27
TOI-4479 b,TOI-4479,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,115.890.000,1.000,-2.000,0,16.400,1.500,-2.900,0,2.820,650,-630,0,252,58,-56,0,,,,,,,,,,,,,,92.50,17.50,-33.30,0,861,64,-103,0,0,,,,,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,M3.0,3400.00,100.00,-100.00,0,0.45,0.09,-0.09,0,0.45,0.09,-0.09,0,0,,,-1,[Fe/H],4.50,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h04m23.27s,3.160.969.388,+24d39m13.23s,246.536.739,806.532.000,2.574.000,-2.558.000,151.800.000,2.000.000,-2.000.000,106.470.000,190.000,-190.000,141.309.000,4.990,-4.990,2022-06-27,2022-06,2022-06-27
TOI-4495.01,TOI-4495,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,518.300.430,,,0,61.733,,,0,3.630,208,-208,0,324,19,-19,0,,,,,,,,,,,,,,346.63,,,0,1383,,,0,0,,,,,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,6156.00,,,0,1.34,,,0,1.17,,,0,,,,,,4.25,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m27.00s,2.863.624.951,+37d01m33.56s,370.259.902,1.322.140.000,4.960.000,-4.930.000,95.310.000,30.000,-30.000,82.170.000,180.000,-180.000,93.859.000,2.140,-2.140,2024-06-11,2024-05,2024-06-11
TOI-4504 b,TOI-4504,1,1,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=V_AMP_IACUTE_TKOV_AMP_AACUTE__ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241205609V/abstract target=ref>V&iacute;tkov&aacute; et al. 2024</a>,242.614.000,14.000,-13.000,0,33.920,680,-680,0,2.691,191,-191,0,240,17,-17,0,,,,,,,,,,0,,,0,,,,,,,,,0,71.800,,,0,<a refstr=V_AMP_IACUTE_TKOV_AMP_AACUTE__ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241205609V/abstract target=ref>V&iacute;tkov&aacute; et al. 2024</a>,K1 V,5315.00,60.00,-60.00,0,0.92,0.04,-0.04,0,0.89,0.06,-0.04,0,160,50,-50,0,[Fe/H],4.46,0.02,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h37m52.15s,1.144.673.065,-62d04m41.80s,-620.782.776,3.426.050.000,17.150.000,-16.990.000,133.640.000,1.030.000,-1.030.000,112.360.000,210.000,-210.000,131.277.000,3.130,-3.130,2025-01-09,2024-12,2025-01-09
TOI-4504 c,TOI-4504,1,1,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=V_AMP_IACUTE_TKOV_AMP_AACUTE__ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241205609V/abstract target=ref>V&iacute;tkov&aacute; et al. 2024</a>,8.297.213.000,13.000,-13.000,0,356.900,6.600,-6.900,0,11.097,560,-560,0,990,50,-50,0,119.732.317,5.752.694,-5.790.834,0,376.720,18.100,-18.220,0,Mass,32.000,1.600,-1.400,0,,,,,,,,,1,,,,,<a refstr=V_AMP_IACUTE_TKOV_AMP_AACUTE__ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241205609V/abstract target=ref>V&iacute;tkov&aacute; et al. 2024</a>,K1 V,5315.00,60.00,-60.00,0,0.92,0.04,-0.04,0,0.89,0.06,-0.04,0,160,50,-50,0,[Fe/H],4.46,0.02,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h37m52.15s,1.144.673.065,-62d04m41.80s,-620.782.776,3.426.050.000,17.150.000,-16.990.000,133.640.000,1.030.000,-1.030.000,112.360.000,210.000,-210.000,131.277.000,3.130,-3.130,2025-01-09,2024-12,2025-01-09
TOI-451 b,TOI-451,1,2,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,185.870.300,2.500,-3.500,0,28.300,1.100,-1.200,0,1.910,120,-120,0,170,11,-11,0,,,,,,,,,,0,,,0,,,,,1491,23,-19,0,0,39.600,4.100,-4.200,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,,5550.00,56.00,-56.00,0,0.88,0.03,-0.03,0,0.95,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h11m51.93s,629.663.850,-37d56m23.03s,-379.397.300,1.237.390.000,3.860.000,-3.840.000,109.390.000,80.000,-80.000,91.900.000,230.000,-230.000,107.498.000,8.490,-8.490,2021-01-21,2021-02,2021-01-28
TOI-451 c,TOI-451,1,2,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,919.252.200,6.000,-10.000,0,82.300,3.300,-3.600,0,3.100,130,-130,0,277,12,-12,0,,,,,,,,,,0,,,0,,,,,875,13,-11,0,0,104.800,4.300,-4.500,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,,5550.00,56.00,-56.00,0,0.88,0.03,-0.03,0,0.95,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h11m51.93s,629.663.850,-37d56m23.03s,-379.397.300,1.237.390.000,3.860.000,-3.840.000,109.390.000,80.000,-80.000,91.900.000,230.000,-230.000,107.498.000,8.490,-8.490,2021-01-21,2021-02,2021-01-28
TOI-451 d,TOI-451,1,2,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,1.636.498.800,4.400,-4.400,0,120.800,4.800,-5.200,0,4.070,150,-150,0,363,13,-13,0,,,,,,,,,,0,,,0,,,,,722,11,-9,0,0,180.300,3.700,-3.700,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,,5550.00,56.00,-56.00,0,0.88,0.03,-0.03,0,0.95,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h11m51.93s,629.663.850,-37d56m23.03s,-379.397.300,1.237.390.000,3.860.000,-3.840.000,109.390.000,80.000,-80.000,91.900.000,230.000,-230.000,107.498.000,8.490,-8.490,2021-01-21,2021-02,2021-01-28
TOI-4515 b,TOI-4515,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CARLEO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A.135C/abstract target=ref>Carleo et al. 2024</a>,1.526.644.600,1.300,-1.300,0,118.000,1.000,-1.000,0,12.170,430,-430,0,1.086,39,-39,0,63.700.000,1.700.000,-1.700.000,0,200.500,5.200,-5.200,0,Mass,461.000,7.000,-7.000,0,,,,,705,10,-10,0,0,,,,,<a refstr=CARLEO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A.135C/abstract target=ref>Carleo et al. 2024</a>,G8/G9,5433.00,70.00,-70.00,0,0.86,0.03,-0.03,0,0.95,0.02,-0.02,0,50,30,-30,0,[Fe/H],4.48,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h24m44.68s,211.861.778,+21d30m47.03s,215.130.638,1.934.990.000,17.260.000,-16.970.000,119.380.000,340.000,-340.000,101.340.000,180.000,-180.000,118.121.000,6.370,-6.370,2024-03-10,2024-02,2024-03-10
TOI-4527.01,TOI-4527,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,39.944.450,,,0,8.332,,,0,909,953,-953,0,81,85,-85,0,,,,,,,,,,,,,,571.51,,,0,1363,,,0,0,,,,,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,3702.00,,,0,0.49,,,0,0.48,,,0,,,,,,4.75,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h17m53.34s,194.722.574,+05d28m16.32s,54.711.996,181.037.000,174.000,-174.000,109.170.000,150.000,-150.000,70.200.000,180.000,-180.000,101.927.000,8.480,-8.480,2024-06-11,2024-05,2024-06-11
TOI-4551 b,TOI-4551,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PEREIRA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231106678P/abstract target=ref>Pereira et al. 2023</a>,995.581.000,7.600,-7.800,0,99.400,3.000,-3.200,0,11.859,1.233,-695,0,1.058,110,-62,0,47.356.433,4.131.769,-4.131.769,0,149.000,13.000,-13.000,0,Mass,101.000,34.000,-33.000,0,,,,,,,,,0,,,,,<a refstr=PEREIRA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231106678P/abstract target=ref>Pereira et al. 2023</a>,,4896.00,110.00,-110.00,0,3.55,0.18,-0.15,0,1.31,0.07,-0.18,0,230,60,-60,0,[Fe/H],3.48,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m54.90s,1.849.787.579,-25d49m40.27s,-258.278.531,2.159.860.000,24.630.000,-24.090.000,99.730.000,60.000,-60.000,75.240.000,260.000,-260.000,96.410.000,1.990,-1.990,2023-11-29,2023-11,2023-11-29
TOI-4559 b,TOI-4559,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,396.599.100,31.400,-33.200,0,35.900,800,-800,0,1.415,126,-112,0,126,11,-10,0,,,,,,,,,,,,,,15.77,1.44,-1.44,0,554,19,-19,0,0,120.000,18.000,-16.000,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3558.00,73.00,-83.00,0,0.37,0.02,-0.01,0,0.39,0.03,-0.03,0,-90,200,-220,0,[Fe/H],4.88,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h04m03.25s,2.110.135.378,-30d00m50.85s,-300.141.252,316.354.000,738.500,-738.500,131.150.000,60.000,-60.000,86.190.000,250.000,-250.000,120.797.000,5.830,-5.830,2024-04-15,2023-11,2024-04-15
TOI-4562 b,TOI-4562,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FERMIANO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240906924F/abstract target=ref>Fermiano et al. 2024</a>,22.510.640.000,15.000,-15.000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,<a refstr=HEITZMANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220810854H/abstract target=ref>Heitzmann et al. 2022</a>,F7 V,6096.00,32.00,-32.00,0,1.15,0.05,-0.05,0,1.19,0.06,-0.06,0,80,60,-60,0,[M/H],4.39,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h28m02.41s,1.120.100.593,-63d31m04.00s,-635.177.788,3.396.050.000,25.280.000,-24.910.000,121.400.000,2.170.000,-2.170.000,106.190.000,230.000,-230.000,119.551.000,4.210,-4.210,2024-10-03,2024-09,2024-10-03
TOI-4582 b,TOI-4582,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GRUNBLATT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...44G/abstract target=ref>Grunblatt et al. 2023</a>,3.103.400.000,100.000,-100.000,0,,,,,10.536,1.009,-1.345,0,940,90,-120,0,16.844.906,1.589.142,-1.589.142,0,53.000,5.000,-5.000,0,Mass,510.000,50.000,-50.000,0,,,,,,,,,0,,,,,<a refstr=GRUNBLATT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...44G/abstract target=ref>Grunblatt et al. 2023</a>,,5190.00,100.00,-100.00,0,2.50,0.10,-0.10,0,1.34,0.06,-0.06,0,170,60,-60,0,[Fe/H],3.77,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m26.43s,2.568.601.374,+68d51m56.25s,688.656.263,3.838.460.000,36.280.000,-35.620.000,112.700.000,140.000,-140.000,93.290.010,200.000,-200.000,110.809.000,3.640,-3.640,2023-01-23,2023-02,2023-01-23
TOI-4600 b,TOI-4600,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,8.268.690.000,30.000,-30.000,0,349.000,21.000,-21.000,0,6.800,310,-300,0,607,28,-26,0,95.984.179,,,1,302.000,,,1,Mass,250.000,330.000,-170.000,0,,,,,347,12,-11,0,0,,,,,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,K V,5170.00,120.00,-120.00,0,0.81,0.03,-0.03,0,0.89,0.05,-0.05,0,160,80,-80,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h13m48.09s,2.584.503.674,+64d33m58.22s,645.661.727,2.160.560.000,11.700.000,-11.590.000,125.770.000,340.000,-340.000,105.710.000,180.000,-180.000,124.406.000,2.520,-2.520,2023-09-19,2023-09,2023-09-19
TOI-4600 c,TOI-4600,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,48.281.910.000,180.000,-170.000,0,1.152.000,68.000,-68.000,0,9.420,420,-410,0,841,37,-37,0,294.626.933,,,1,927.000,,,1,Mass,210.000,290.000,-140.000,0,,,,,191,6,-6,0,0,,,,,<a refstr=MIRELES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..15M/abstract target=ref>Mireles et al. 2023</a>,K V,5170.00,120.00,-120.00,0,0.81,0.03,-0.03,0,0.89,0.05,-0.05,0,160,80,-80,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h13m48.09s,2.584.503.674,+64d33m58.22s,645.661.727,2.160.560.000,11.700.000,-11.590.000,125.770.000,340.000,-340.000,105.710.000,180.000,-180.000,124.406.000,2.520,-2.520,2023-09-19,2023-09,2023-09-19
TOI-4602.01,TOI-4602,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,398.120.910,,,0,50.997,,,0,2.550,784,-784,0,227,70,-70,0,,,,,,,,,,,,,,603.69,,,0,1380,,,0,0,,,,,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,6011.90,,,0,1.16,,,0,1.12,,,0,,,,,,4.36,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h02m24.08s,606.003.316,+31d19m47.41s,313.298.354,630.637.000,2.000.000,-1.988.000,83.200.000,300.000,-300.000,68.830.000,270.000,-270.000,81.730.300,2.950,-2.950,2024-06-11,2024-05,2024-06-11
TOI-4603 b,TOI-4603,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KHANDELWAL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230311841K/abstract target=ref>Khandelwal et al. 2023</a>,724.599.000,22.000,-21.000,0,88.800,1.000,-1.000,0,11.680,426,-392,0,1.042,38,-35,0,409.680.817,18.434.048,-18.116.219,0,1.289.000,58.000,-57.000,0,Mass,325.000,20.000,-20.000,0,1192.00,71.00,-68.00,0,1677,24,-24,0,0,152.800,9.100,-7.900,0,<a refstr=KHANDELWAL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230311841K/abstract target=ref>Khandelwal et al. 2023</a>,F,6264.00,95.00,-94.00,0,2.74,0.05,-0.05,0,1.76,0.06,-0.06,0,342,39,-40,0,[Fe/H],3.81,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h35m27.82s,838.659.288,+21d17m39.27s,212.942.417,2.256.430.000,24.840.000,-24.320.000,92.400.000,300.000,-300.000,77.860.000,170.000,-170.000,90.746.900,2.410,-2.410,2023-03-28,2023-03,2023-03-28
TOI-4633 c,TOI-4633,1,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,27.194.450.000,390.000,-400.000,0,847.000,61.000,-61.000,0,3.200,200,-190,0,285,18,-17,0,12.300.000,,,1,38.700,,,1,Mass,117.000,186.000,-85.000,0,1.56,0.20,-0.16,0,,,,,0,,,,,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,G V,5800.00,50.00,-50.00,0,01.05,0.05,-0.05,0,1.10,0.06,-0.06,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m22.34s,2.568.431.021,+62d28m31.97s,624.755.480,952.016.000,2.390.000,-2.377.000,90.170.000,20.000,-20.000,73.490.000,240.000,-240.000,88.198.300,2.310,-2.310,2024-05-13,2024-05,2024-05-13
TOI-4638.01,TOI-4638,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,1.028.391.879,9.278,-9.873,0,93.013,3.839,-4.185,0,2.933,376,-245,0,262,34,-22,0,,,,,,,,,,,,,,87.81,15.30,-12.97,0,,,,,0,,,,,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5700.00,131.00,-131.00,0,0.90,0.04,-0.04,0,01.02,0.13,-0.13,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m16.96s,128.206.627,+12d47m16.75s,127.879.858,1.682.480.000,17.610.000,-17.240.000,116.570.000,280.000,-280.000,96.960.000,180.000,-180.000,112.097.000,6.770,-6.770,2024-12-10,2024-11,2024-12-10
TOI-4641 b,TOI-4641,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BIERYLA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231203971B/abstract target=ref>Bieryla et al. 2023</a>,2.209.341.000,5.100,-4.700,0,173.000,15.000,-15.000,0,8.183,291,-314,0,730,26,-28,0,122.999.594,,,1,387.000,,,1,Mass,74.000,,,1,,,,,,,,,0,,,,,<a refstr=BIERYLA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231203971B/abstract target=ref>Bieryla et al. 2023</a>,,6560.00,300.00,-340.00,0,1.72,0.04,-0.04,0,1.41,0.07,-0.06,0,-90,110,-180,0,[M/H],4.11,0.69,-0.69,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h50m13.97s,425.582.023,+25d20m00.72s,253.335.334,863.501.000,4.815.000,-4.763.000,75.100.000,300.000,-300.000,65.790.000,290.000,-290.000,74.077.500,4.660,-4.660,2023-12-14,2023-12,2023-12-14
TOI-470 b,TOI-470,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,1.219.148.000,3.000,-3.000,0,119.000,8.000,-8.000,0,4.340,290,-290,0,387,26,-26,0,,,,,,,,,,,,,,,,,,660,70,-70,0,0,227.500,7.600,-7.600,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,G,5190.00,90.00,-90.00,0,0.83,0.02,-0.02,0,0.87,0.09,-0.09,0,100,80,-80,0,[Fe/H],4.54,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h16m02.38s,940.099.043,-25d01m53.08s,-250.314.111,1.304.600.000,4.010.000,-3.980.000,111.710.000,170.000,-170.000,94.220.000,190.000,-190.000,112.461.000,5.810,-5.810,2023-08-22,2023-03,2023-08-22
