SOURCE_ID,phot_g_mean_mag,bp_rp,star_type
5336271190522331136,16.364819,1.6616039,CEP
4654717540602482432,15.469486,0.6838274,CEP
4654721285813909888,15.530733,0.72761536,CEP
4654726061816774016,15.025653,0.60768986,CEP
4654727092609377408,15.216729,0.8560362,CEP
4654727711084208384,16.001259,0.8633251,CEP
4654728776236060032,15.597367,0.92122173,CEP
4654732761955207936,16.859583,1.421464,CEP
4654732860763816192,15.852646,0.91014576,CEP
4654732865034413824,16.183374,0.779933,CEP
4654733998916127616,16.022108,0.8529568,CEP
4654737915926696704,16.83611,0.74484634,CEP
5334693567444450944,15.168262,2.3177404,CEP
4654746677659394816,15.291235,0.90854454,CEP
4654747704155029504,15.868633,0.907897,CEP
4654750560309717504,14.580868,0.84951496,CEP
4654751110065462016,16.102577,0.86256886,CEP
4654751659821276672,15.744609,0.6151962,CEP
5334694804437053568,14.230102,2.3785877,CEP
4654760558985229696,16.062407,0.745842,CEP
4654761551109470208,16.509228,0.72681427,CEP
4654769355077980800,16.519918,0.83038807,CEP
4654773753124461824,17.456717,0.8120823,CEP
4654782102540670720,17.399221,0.89777946,CEP
4654788076827762944,17.531384,0.7185955,CEP
4654802821464411648,14.646347,1.0896673,CEP
4654805432804454400,16.783485,1.0159416,CEP
4654814224592937088,17.506413,0.7130413,CEP
4654816084323304192,17.169102,0.8359928,CEP
4654822677086475776,15.917005,0.7954931,CEP
4654835806814404864,17.439627,1.1673279,CEP
4654861198661984384,15.995487,0.9902115,CEP
4654865046952585600,14.544468,1.1198406,CEP
4654899784644162944,15.840212,0.9200182,CEP
4654899990802580864,15.728883,0.7605028,CEP
4654901635762714368,17.290232,0.7680359,CEP
4654901880588334720,14.874324,0.8801527,CEP
4654903289337520384,15.958076,0.84141636,CEP
4654903358056969216,15.364481,0.94768524,CEP
4654903701654446336,16.055658,0.904726,CEP
4654905625799713408,14.841854,0.84429455,CEP
4654905694519166464,15.397035,0.8329582,CEP
4654907893530157312,16.03877,0.7446995,CEP
4654919056153161984,17.217411,0.81358147,CEP
4654922565150928000,16.179895,0.90502167,CEP
4654926791398934784,15.963654,0.8947935,CEP
4654937339840486528,15.210879,1.0193281,CEP
4654940844533691648,15.822441,0.7044029,CEP
4310150658230447360,18.147566,4.4503574,CEP
4654946857488278656,16.10734,0.9485445,CEP
4654948300597267456,15.772191,0.8244324,CEP
4654948334956256384,15.96184,0.9137564,CEP
4654948781633572736,16.098988,0.9363508,CEP
4654950018584119040,15.673025,0.8643408,CEP
4654955413062261120,15.447711,0.97296333,CEP
4654957749524411904,15.2699,0.8402977,CEP
4654958986475804928,16.02719,0.86223316,CEP
4654962521257266560,15.654894,1.451561,CEP
4654965617907431040,15.964063,0.92927647,CEP
4654969741075933312,16.075212,0.75822735,CEP
4654972524214794240,13.427241,1.194499,CEP
4654973172749097088,16.039799,0.9854078,CEP
4654979361803055104,15.732357,0.7688675,CEP
4654982076221933696,17.013256,0.8485584,CEP
4654983343231845888,16.181015,0.84383106,CEP
4487186946722722304,13.181208,1.1691895,CEP
4654987608139739520,17.570368,0.7125168,CEP
4654987986096844416,15.95629,0.8231926,CEP
4655000871000618496,14.724418,0.8093586,CEP
4655005406485710848,16.368437,0.94654274,CEP
4655006643436206976,16.069418,0.9442463,CEP
4655006918314352384,15.436958,0.81359005,CEP
4655009250472651392,18.0859,0.7211399,CEP
4655016813919074560,15.811419,0.7644129,CEP
4655017810351157120,15.037026,0.8823242,CEP
4655018085229027328,16.387024,0.9298115,CEP
4655020593490574336,15.346608,0.90859413,CEP
4655021967879773696,16.868443,0.77807236,CEP
5886130461583417216,8.938105,0.778738,CEP
5886151322289873280,14.853201,2.5664139,CEP
4655029355223065856,15.0766535,0.86820984,CEP
4655031176289181824,14.880928,0.9959955,CEP
4655035535726226560,15.639044,0.9373102,CEP
4655036433340346880,15.622588,0.7242174,CEP
4655037498492125184,15.3665285,0.7577877,CEP
4655039044680197120,15.871675,0.7900076,CEP
4655040659587956608,15.390971,0.8072939,CEP
4310507179195737984,17.339405,2.0668106,CEP
4310521296724683520,17.826622,4.2903366,CEP
4310522675425308672,17.245596,3.9874249,CEP
5886217533465566976,17.698172,4.303192,CEP
4520070144084564224,16.50638,2.5688152,CEP
4310538755783038080,16.732582,3.5919018,CEP
5251623535508264064,12.498392,1.0891294,CEP
514113499512331264,13.99414,1.9182119,CEP
2229959084650284032,16.870047,1.4593792,CEP
4310575177106552192,17.160772,2.9640055,CEP
514299866732307584,16.373608,1.6843319,CEP
4310625338019596544,18.356077,3.4606304,CEP
514393423999534336,14.763508,2.2633638,CEP
4472449191647245184,11.891467,1.1540909,CEP
4310642552248059136,17.439194,3.2749157,CEP
514674937641488256,10.376676,1.523838,CEP
4310672617022294400,17.751307,3.5562477,CEP
514736269771300224,10.338127,1.4802513,CEP
5251882921501101312,15.835802,0.9468107,CEP
4046208567056665600,15.320266,1.5465899,CEP
4056026175045038464,8.324351,1.7421007,CEP
5258316816862048384,15.096964,2.5488052,CEP
5258330285879021056,15.932824,2.828967,CEP
4056029434901522816,17.32418,4.850231,CEP
5258355780806662016,15.46443,3.0831594,CEP
5258391892881864320,17.31435,3.790162,CEP
5258408900951975936,17.961351,4.096525,CEP
5258418929684479488,11.974052,2.6845417,CEP
5258420858142702208,9.12597,1.0941086,CEP
505178760644698880,12.381911,1.1703749,CEP
5251970470116004224,15.0058365,1.3368979,CEP
5258515553584655232,16.620853,3.3465157,CEP
5258517237211885312,15.396326,2.782711,CEP
5258552863950686592,18.547506,3.5037289,CEP
5258566302919840896,17.949146,4.261509,CEP
5258568982979313280,13.152843,2.51447,CEP
5258574068224211200,10.327474,1.5443268,CEP
