X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-666165.422106276,4493560.95606984,1320,A8,110,43,Recaredo (Puerta Carmona),540,11013,11011,139
-665071.417142347,4496773.6183202,3274,11,11,44,Comunidad Extremeña,540,1111,1110,140
-665071.417142347,4496773.6183202,0,11,11,44,Comunidad Extremeña,540,1112,1110,141
-665284.007625194,4496853.81379987,4683,13,13,45,Avenida La Barzola (Bahía de Cádiz),540,1312,1310,142
-665284.007625194,4496853.81379987,4245,A1,101,45,Avenida La Barzola (Bahía de Cádiz),540,10112,10110,143
-665284.007625194,4496853.81379987,4245,A1,101,45,Avenida La Barzola (Bahía de Cádiz),540,10114,10111,144
-665475.100188167,4496381.73849169,1187,11,11,46,Av. La Barzola (Pza. A. Martín Caro),540,1112,1110,145
-665475.100188167,4496381.73849169,5082,13,13,46,Av. La Barzola (Pza. A. Martín Caro),540,1312,1310,146
-665475.100188167,4496381.73849169,4644,A1,101,46,Av. La Barzola (Pza. A. Martín Caro),540,10112,10110,147
-665475.100188167,4496381.73849169,4644,A1,101,46,Av. La Barzola (Pza. A. Martín Caro),540,10114,10111,148
-665612.633760381,4495986.66572021,1568,11,11,47,Madreselva,540,1112,1110,149
-662143.613545442,4490269.13030511,5014,26,26,50,Carmen Vendrell,540,2611,2610,150
-662143.613545442,4490269.13030511,0,26,26,50,Carmen Vendrell,540,2612,2610,151
-665976.718192409,4487256.08991346,404,34,34,51,Chipre (Avenida Alemania),540,3412,3410,152
-664758.503051972,4496078.61637272,2335,12,12,52,San Juan de La Salle (Alc. M. del Valle),540,1211,1210,153
-664758.503051972,4496078.61637272,3586,16,16,52,San Juan de La Salle (Alc. M. del Valle),540,1611,1610,154
-664758.503051972,4496078.61637272,3556,A1,101,52,San Juan de La Salle (Alc. M. del Valle),540,10111,10110,155
-664758.503051972,4496078.61637272,3961,A1,101,52,San Juan de La Salle (Alc. M. del Valle),540,10113,10111,156
-666163.033446038,4491844.90976913,5624,01,1,53,Avenida La Borbolla (Capitanía),540,111,110,157
-666163.033446038,4491844.90976913,434,30,30,53,Avenida La Borbolla (Capitanía),540,3011,3010,158
-666163.033446038,4491844.90976913,456,31,31,53,Avenida La Borbolla (Capitanía),540,3111,3110,159
-666163.033446038,4491844.90976913,1858,37,37,53,Avenida La Borbolla (Capitanía),540,3711,3710,160
-666163.033446038,4491844.90976913,546,A6,106,53,Avenida La Borbolla (Capitanía),540,10611,10610,161
-666163.033446038,4491844.90976913,715,A6,106,53,Avenida La Borbolla (Capitanía),540,10613,10611,162
-666294.091107063,4491407.7929659,5984,01,1,54,Avenida La Borbolla (Montevideo),540,111,110,163
-666294.091107063,4491407.7929659,794,30,30,54,Avenida La Borbolla (Montevideo),540,3011,3010,164
-666294.091107063,4491407.7929659,816,31,31,54,Avenida La Borbolla (Montevideo),540,3111,3110,165
-666294.091107063,4491407.7929659,2218,37,37,54,Avenida La Borbolla (Montevideo),540,3711,3710,166
-666294.091107063,4491407.7929659,906,A6,106,54,Avenida La Borbolla (Montevideo),540,10611,10610,167
-666294.091107063,4491407.7929659,1075,A6,106,54,Avenida La Borbolla (Montevideo),540,10613,10611,168
-666315.907500869,4491136.34083265,6199,01,1,55,Avenida La Borbolla (Plaza América),540,111,110,169
-666315.907500869,4491136.34083265,1031,31,31,55,Avenida La Borbolla (Plaza América),540,3111,3110,170
-666315.907500869,4491136.34083265,2433,37,37,55,Avenida La Borbolla (Plaza América),540,3711,3710,171
-666315.907500869,4491136.34083265,1121,A6,106,55,Avenida La Borbolla (Plaza América),540,10611,10610,172
-666315.907500869,4491136.34083265,1290,A6,106,55,Avenida La Borbolla (Plaza América),540,10613,10611,173
-666282.466302071,4490470.03038248,6727,01,1,56,Manuel Siurot (Edificio La Estrella),540,111,110,174
-666282.466302071,4490470.03038248,2961,37,37,56,Manuel Siurot (Edificio La Estrella),540,3711,3710,175
-666282.466302071,4490470.03038248,1649,A6,106,56,Manuel Siurot (Edificio La Estrella),540,10611,10610,176
-666282.466302071,4490470.03038248,1818,A6,106,56,Manuel Siurot (Edificio La Estrella),540,10613,10611,177
-666071.04360521,4489996.10471298,7138,01,1,57,Manuel Siurot (Cardenal Ilundain),540,111,110,178
-666071.04360521,4489996.10471298,3372,37,37,57,Manuel Siurot (Cardenal Ilundain),540,3711,3710,179
-666071.04360521,4489996.10471298,2060,A6,106,57,Manuel Siurot (Cardenal Ilundain),540,10611,10610,180
-666071.04360521,4489996.10471298,2229,A6,106,57,Manuel Siurot (Cardenal Ilundain),540,10613,10611,181
-665864.451305957,4489556.92774779,7523,01,1,58,Manuel Siurot (Hospital V.Rocio),540,111,110,182
-665864.451305957,4489556.92774779,3757,37,37,58,Manuel Siurot (Hospital V.Rocio),540,3711,3710,183
-665864.451305957,4489556.92774779,2445,A6,106,58,Manuel Siurot (Hospital V.Rocio),540,10611,10610,184
-665864.451305957,4489556.92774779,2614,A6,106,58,Manuel Siurot (Hospital V.Rocio),540,10613,10611,185
-665643.739387208,4489067.01596511,7949,01,1,59,Manuel Siurot (Carretera Su Eminencia),540,111,110,186
-665643.739387208,4489067.01596511,4183,37,37,59,Manuel Siurot (Carretera Su Eminencia),540,3711,3710,187
-665643.739387208,4489067.01596511,2871,A6,106,59,Manuel Siurot (Carretera Su Eminencia),540,10611,10610,188
-665643.739387208,4489067.01596511,3040,A6,106,59,Manuel Siurot (Carretera Su Eminencia),540,10613,10611,189
-665944.126294533,4489043.50931893,13931,02,2,60,Padre G. Tejero (Est. Benito Villamarín),540,211,210,190
-665944.126294533,4489043.50931893,11657,06,6,60,Padre G. Tejero (Est. Benito Villamarín),540,611,610,191
-665944.126294533,4489043.50931893,0,06,6,60,Padre G. Tejero (Est. Benito Villamarín),540,612,610,192
-666404.287818341,4488898.19668454,6277,03,3,61,Reina Mercedes (Gta. Alc. Parias Merry),540,311,310,193
-666404.287818341,4488898.19668454,3676,34,34,61,Reina Mercedes (Gta. Alc. Parias Merry),540,3412,3410,194
-666404.287818341,4488898.19668454,6973,A6,106,61,Reina Mercedes (Gta. Alc. Parias Merry),540,10612,10610,195
-666404.287818341,4488898.19668454,6973,A6,106,61,Reina Mercedes (Gta. Alc. Parias Merry),540,10614,10611,196
-666389.955879179,4489227.82418832,696,06,6,62,Reina Mercedes (E.S.I. Informática),540,612,610,197
-666389.955879179,4489227.82418832,3937,34,34,62,Reina Mercedes (E.S.I. Informática),540,3412,3410,198
-666389.955879179,4489227.82418832,7234,A6,106,62,Reina Mercedes (E.S.I. Informática),540,10612,10610,199
-666389.955879179,4489227.82418832,7234,A6,106,62,Reina Mercedes (E.S.I. Informática),540,10614,10611,200
-666374.403065766,4489658.97331834,6880,03,3,63,Reina Mercedes (Escuela de Arquitectura),540,311,310,201
-666374.403065766,4489658.97331834,1038,06,6,63,Reina Mercedes (Escuela de Arquitectura),540,612,610,202
-666374.403065766,4489658.97331834,4279,34,34,63,Reina Mercedes (Escuela de Arquitectura),540,3412,3410,203
-666374.403065766,4489658.97331834,7576,A6,106,63,Reina Mercedes (Escuela de Arquitectura),540,10612,10610,204
-666374.403065766,4489658.97331834,7576,A6,106,63,Reina Mercedes (Escuela de Arquitectura),540,10614,10611,205
-666108.094338497,4490138.22674286,1067,01,1,64,Manuel Siurot (Gustavo Gallardo),540,112,110,206
-666108.094338497,4490138.22674286,7584,37,37,64,Manuel Siurot (Gustavo Gallardo),540,3712,3710,207
-666253.218530754,4490455.06960965,1345,01,1,65,Manuel Siurot (Edificio La Estrella),540,112,110,208
-666253.218530754,4490455.06960965,7862,37,37,65,Manuel Siurot (Edificio La Estrella),540,3712,3710,209
-666290.800068769,4491135.27213655,1890,01,1,66,Avenida La Borbolla (Felipe Ii),540,112,110,210
-666290.800068769,4491135.27213655,2796,30,30,66,Avenida La Borbolla (Felipe Ii),540,3012,3010,211
-666290.800068769,4491135.27213655,4989,31,31,66,Avenida La Borbolla (Felipe Ii),540,3112,3110,212
-666290.800068769,4491135.27213655,8407,37,37,66,Avenida La Borbolla (Felipe Ii),540,3712,3710,213
-666290.800068769,4491135.27213655,3154,A5,105,66,Avenida La Borbolla (Felipe Ii),540,10512,10510,214
-666290.800068769,4491135.27213655,3154,A5,105,66,Avenida La Borbolla (Felipe Ii),540,10514,10511,215
-666270.523023146,4491394.43394136,2096,01,1,67,Avenida La Borbolla (Montevideo),540,112,110,216
-666270.523023146,4491394.43394136,3002,30,30,67,Avenida La Borbolla (Montevideo),540,3012,3010,217
-666270.523023146,4491394.43394136,5195,31,31,67,Avenida La Borbolla (Montevideo),540,3112,3110,218
-666270.523023146,4491394.43394136,8613,37,37,67,Avenida La Borbolla (Montevideo),540,3712,3710,219
-666270.523023146,4491394.43394136,3360,A5,105,67,Avenida La Borbolla (Montevideo),540,10512,10510,220
-666270.523023146,4491394.43394136,3360,A5,105,67,Avenida La Borbolla (Montevideo),540,10514,10511,221
-666057.932529167,4492081.11003394,2671,01,1,68,Avda. La Borbolla (Dr. Pedro de Castro),540,112,110,222
-666057.932529167,4492081.11003394,9188,37,37,68,Avda. La Borbolla (Dr. Pedro de Castro),540,3712,3710,223
-666057.932529167,4492081.11003394,3935,A5,105,68,Avda. La Borbolla (Dr. Pedro de Castro),540,10512,10510,224
-666057.932529167,4492081.11003394,3935,A5,105,68,Avda. La Borbolla (Dr. Pedro de Castro),540,10514,10511,225
-666706.214084981,4492249.44603639,0,C5,121,69,El Cid Av. (Rectorado),540,12111,12110,226
-666706.214084981,4492249.44603639,4451,C5,121,69,El Cid Av. (Rectorado),540,12112,12110,227
-666706.214084981,4492249.44603639,1290,CJ,128,69,El Cid Av. (Rectorado),540,12811,12810,228
-667128.847147906,4493993.88652885,197,27,27,70,Laraña (Plaza Encarnación),540,2711,2710,229
-667128.847147906,4493993.88652885,191,32,32,70,Laraña (Plaza Encarnación),540,3211,3210,230
-667128.847147906,4493993.88652885,263,A7,107,70,Laraña (Plaza Encarnación),540,10712,10710,231
-667128.847147906,4493993.88652885,263,A7,107,70,Laraña (Plaza Encarnación),540,10714,10711,232
-665829.205339914,4494853.92107721,1047,11,11,71,Avenida Miraflores (San Juan Bosco),540,1111,1110,233
-665829.205339914,4494853.92107721,1036,12,12,71,Avenida Miraflores (San Juan Bosco),540,1211,1210,234
-665829.205339914,4494853.92107721,2257,A1,101,71,Avenida Miraflores (San Juan Bosco),540,10111,10110,235
-665829.205339914,4494853.92107721,2662,A1,101,71,Avenida Miraflores (San Juan Bosco),540,10113,10111,236
-665519.900784028,4495242.00198702,1443,11,11,72,Avenida Miraflores (Retiro Obrero),540,1111,1110,237
-665519.900784028,4495242.00198702,1432,12,12,72,Avenida Miraflores (Retiro Obrero),540,1211,1210,238
-665519.900784028,4495242.00198702,2653,A1,101,72,Avenida Miraflores (Retiro Obrero),540,10111,10110,239
-665519.900784028,4495242.00198702,3058,A1,101,72,Avenida Miraflores (Retiro Obrero),540,10113,10111,240
