latitude,longitude,soil_moisture
71.80941,86.82573,0.17889836
71.80941,87.19917,0.17556418
71.80941,87.57262,0.17592658
71.80941,87.94606,0.18360335
71.80941,88.3195,0.17491867
71.80941,88.69295,0.17167862
71.80941,89.06639,0.1729889
71.80941,89.439835,0.17319152
71.80941,89.81328,0.1794238
71.80941,90.18672,0.17731911
71.80941,90.560165,0.16977762
71.80941,90.93361,0.18923718
71.80941,91.30705,0.18080056
71.80941,91.6805,0.18502457
71.80941,92.05394,0.19660935
71.80941,92.42738,0.20696498
71.80941,92.80083,0.24446176
71.80941,93.17427,0.2071007
71.80941,93.547714,0.24158753
