latitude,longitude,soil_moisture,brightness_temperature
75.81257,106.618256,0.17705847,247.99411
75.81257,106.9917,0.16781257,249.62149
75.81257,107.36514,0.17065217,248.37747
75.81257,107.73859,0.15095909,252.33124
75.81257,108.11203,0.15438302,251.74402
75.81257,108.48547,0.17486863,249.05414
75.81257,108.858925,0.16463238,249.42911
75.81257,109.23237,0.16900875,247.94046
75.81257,109.60581,0.16703275,247.9762
75.81257,109.979256,0.16954532,248.08755
75.81257,110.3527,0.17702512,247.8316
75.81257,110.72614,0.17508666,248.0101
75.81257,111.09959,0.16566072,250.27371
75.81257,111.47303,0.17677481,249.77954
75.81257,111.84647,0.19909643,247.30338
75.81257,112.21992,0.18875653,247.99066
75.81257,112.59336,0.14611113,253.22778
75.81257,112.966805,0.13617209,254.36075
75.81257,113.34025,0.12772031,255.7778
75.81257,137.6141,0.45679164,202.00844
75.81257,137.98755,0.22100504,241.53955
75.81257,138.361,0.27999365,232.72876
75.81257,138.73444,0.27363122,231.88257
75.81257,139.10788,0.22075814,238.29492
75.81257,139.48132,0.096753374,260.62393
75.81257,139.85477,0.17069714,248.57529
75.81257,142.09543,0.6331445,130.99316
75.81257,143.58922,0.26062828,235.56
74.71601,-113.71369,0.37350357,222.05994
74.71601,-113.34025,0.27405453,225.65387
74.71601,-112.966805,0.2600932,226.92938
74.71601,-112.59336,0.2622165,228.32396
74.71601,-112.21992,0.20640263,235.2603
74.71601,-111.84647,0.12236965,252.84053
74.71601,-111.47303,0.25254074,226.62018
74.71601,-111.09959,0.2557202,225.37567
74.71601,-95.41494,0.6359954,179.53691
74.71601,-95.0415,0.6512166,179.09418
74.71601,-89.06639,0.15522529,249.92137
74.71601,-20.726141,0.5772936,212.15558
74.71601,-20.352697,0.22040191,247.28058
74.71601,-19.979254,0.30291408,230.45471
74.71601,59.564316,0.34085983,215.17993
74.71601,87.19917,0.14452897,254.83673
74.71601,87.57262,0.1489201,254.51491
74.71601,87.94606,0.16999485,251.75983
74.71601,88.3195,0.16837089,251.65619
74.71601,88.69295,0.1787037,250.57678
74.71601,89.06639,0.18467863,249.80623
74.71601,89.439835,0.19105324,249.09412
74.71601,89.81328,0.2052934,247.78558
74.71601,90.18672,0.17733452,250.34201
74.71601,90.560165,0.19889411,248.33034
74.71601,90.93361,0.18618695,249.01462
74.71601,91.30705,0.20384076,247.0444
74.71601,91.6805,0.20130318,246.0535
74.71601,92.05394,0.20998608,245.52043
74.71601,92.42738,0.2064516,244.85464
74.71601,92.80083,0.18769431,246.0745
74.71601,93.17427,0.1945783,246.04523
74.71601,93.547714,0.20291899,245.0377
74.71601,93.921165,0.18710147,247.0876
74.71601,94.29461,0.18529773,247.1623
74.71601,94.66805,0.20114496,246.4805
74.71601,95.0415,0.17114727,248.89062
74.71601,95.41494,0.1874258,247.59741
74.71601,95.78838,0.17925708,248.3392
74.71601,96.16183,0.20128149,246.08586
74.71601,96.53527,0.1917541,246.2359
74.71601,96.908714,0.20980059,244.0925
74.71601,97.28216,0.21296865,244.41019
