_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS	Plx	B-V	Survey	Chart	Notes	SpType
144.1156062227	-2.7778820051	47150	7.03	144.11558549	-2.77786521	6.47	1.017	S	 	 	K0
132.2514410918	38.3452492957	43279	7.27	132.25146356	38.34524757	4.07	0.064	S	 	 	A2...
264.0535357361	-30.5418039842	86140	8.93	264.05354313	-30.54179188	1.71	1.2	 	 	 	G8III
51.2691520303	10.9764607781	15922	7.29	51.26911925	10.97650166	8.77	0.152	S	 	 	A0
303.3114429356	-21.4410800696	99632	8.77	303.31134295	-21.44105258	5.62	0.377	S	 	 	A9IV
132.2333055036	72.6765427368	43273	8.62	132.23389101	72.67673988	15.02	0.574	 	 	 	G0
173.9083323507	-50.7234661886	56543	8.11	173.90844565	-50.72346264	7.31	0.173	S	 	 	A5V
35.4267071744	57.8628128232	10995	7.78	35.42671019	57.86282116	0.06	2.26	 	 	P	M2Ib
134.1444830036	43.0591333914	43901	10.48	134.14450935	43.05917194	1.96	0.4	 	G	 	F2
2.223518875	-22.1795175422	720	7.13	2.22356284	-22.17950257	3.16	1.64	S	 	P	M2III
113.7479268864	4.4395153312	36884	6.82	113.74793381	4.4395208	1.65	1.18	S	 	 	K0
116.1673928505	3.552453638	37766	11.19	116.16823269	3.55354943	168.59	1.6	 	G	 	M4.5Ve
83.7883609366	-0.2695994533	26210	7.5	83.78835644	-0.26960062	2.2	-0.116	S	 	 	B7V
37.0718214044	68.6563111056	11498	9.12	37.07185012	68.6563148	1.01	0.392	 	 	 	B9
14.0940054105	-31.1837836836	4396	10.58	14.09398683	-31.18379326	0.91	-0.057	 	G	 	B9V
2.6232188997	15.2317704523	856	8.24	2.62339153	15.23192856	12.91	0.491	S	 	 	F6V
281.3681874655	5.5001277739	92027	5.82	281.36814952	5.50012301	4.6	0.041	S	 	G	A1V
212.8056515928	-74.1369350501	69313	8.94	212.806784	-74.13670556	13.48	0.512	 	 	 	F5V
224.0808260629	-18.9282340798	73096	7.69	224.08071578	-18.928208	14.07	0.496	S	 	 	F5/F6V
233.0208107621	15.0742942126	76065	9.09	233.02080092	15.07428048	2.24	1.073	 	 	 	K0
84.4151124514	-28.6262951478	26453	7.26	84.41504533	-28.62628562	16.8	0.404	S	 	 	F3V
188.9150937629	-52.7646606653	61461	9.84	188.91534819	-52.76462061	6.26	0.597	 	G	 	G2V
89.3552835078	0.0275185296	28187	6.9	89.35532123	0.02754004	5.46	0.0	S	 	 	A0V
178.196870676	7.6040316276	57924	8.92	178.19666639	7.60422177	9.88	0.64	S	 	 	G5
0.8662038726	53.3126887915	280	8.15	0.86626632	53.31270092	4.83	0.134	S	 	 	A2
29.6691188382	67.5794555719	9231	7.8	29.66920009	67.57946544	4.19	0.096	 	 	 	A0
50.297616334	-62.0741539069	15622	7.91	50.29755089	-62.07419265	4.05	1.169	S	 	 	K2IIICN...
15.6888090752	2.2282121491	4886	9.52	15.68851855	2.22823592	11.43	0.77	 	 	D	G5
314.4536230341	4.1954871111	103472	6.84	314.45361409	4.1954875	2.42	1.391	S	 	 	K2
270.9723617934	36.3948907787	88470	8.82	270.97237674	36.39492031	1.87	1.08	 	 	 	K0
8.2988076904	-63.9082195971	2614	9.27	8.29871645	-63.90826167	5.71	1.03	 	 	 	K1IV
299.2358783648	-1.2081731603	98161	8.63	299.23592881	-1.20809757	4.87	1.142	 	 	 	K0
109.5946082646	53.3186423675	35371	9.03	109.59457783	53.31874693	2.13	1.145	 	 	 	K2
243.720322308	22.3664155969	79620	8.31	243.72029387	22.36636684	4.25	1.04	 	 	 	K0
99.6028540193	48.7986041638	31740	10.11	99.60235987	48.79923521	11.92	0.73	 	G	 	G5
